Genus.Species.curated,field,Genus.Species.curated,museum
Anochetus.mayri,30,Anochetus.mayri,11
Aphaenogaster.ashmeadi,20,Aphaenogaster.ashmeadi,62
Aphaenogaster.carolinensis,217,Aphaenogaster.carolinensis,212
Aphaenogaster.flemingi,3,Aphaenogaster.flemingi,25
Aphaenogaster.floridana,10,Aphaenogaster.floridana,58
Aphaenogaster.fulva,31,Aphaenogaster.fulva,36
Aphaenogaster.lamellidens,10,Aphaenogaster.lamellidens,23
Aphaenogaster.rudis,1,Aphaenogaster.rudis,0
Aphaenogaster.tennesseensis,2,Aphaenogaster.tennesseensis,5
Aphaenogaster.treatae,11,Aphaenogaster.treatae,33
Aphaenogaster.umphreyi,0,Aphaenogaster.umphreyi,10
Brachymyrmex.depilis,830,Brachymyrmex.depilis,226
Brachymyrmex.heeri,3,Brachymyrmex.heeri,4
Brachymyrmex.minutus,4,Brachymyrmex.minutus,11
Brachymyrmex.obscurior,53,Brachymyrmex.obscurior,131
Brachymyrmex.patagonicus,0,Brachymyrmex.patagonicus,38
Camponotus.americanus,0,Camponotus.americanus,1
Camponotus.castaneus,28,Camponotus.castaneus,77
Camponotus.floridanus,121,Camponotus.floridanus,340
Camponotus.sexguttatus,4,Camponotus.sexguttatus,4
Camponotus.socius,14,Camponotus.socius,70
Cardiocondyla.emeryi,42,Cardiocondyla.emeryi,88
Cardiocondyla.mauritanica,0,Cardiocondyla.mauritanica,6
Cardiocondyla.minutior,17,Cardiocondyla.minutior,65
Cardiocondyla.venustula,8,Cardiocondyla.venustula,10
Crematogaster.ashmeadi,82,Crematogaster.ashmeadi,228
Crematogaster.cerasi,17,Crematogaster.cerasi,24
Crematogaster.lineolata,41,Crematogaster.lineolata,25
Crematogaster.minutissima,118,Crematogaster.minutissima,93
Crematogaster.missuriensis,3,Crematogaster.missuriensis,11
Crematogaster.obscurata,1,Crematogaster.obscurata,3
Cryptopone.gilva,16,Cryptopone.gilva,30
Cyphomyrmex.minutus,146,Cyphomyrmex.minutus,137
Cyphomyrmex.rimosus,183,Cyphomyrmex.rimosus,185
Discothyrea.testacea,59,Discothyrea.testacea,50
Dolichoderus.mariae,0,Dolichoderus.mariae,2
Dolichoderus.pustulatus,3,Dolichoderus.pustulatus,20
Dorymyrmex.bossutus,14,Dorymyrmex.bossutus,44
Dorymyrmex.bureni,35,Dorymyrmex.bureni,301
Dorymyrmex.elegans,0,Dorymyrmex.elegans,19
Dorymyrmex.flavopectus,8,Dorymyrmex.flavopectus,34
Dorymyrmex.grandula,3,Dorymyrmex.grandula,9
Dorymyrmex.medeis,8,Dorymyrmex.medeis,17
Dorymyrmex.reginicula,2,Dorymyrmex.reginicula,26
Eurhopalothrix.floridana,141,Eurhopalothrix.floridana,104
Forelius.mccooki,0,Forelius.mccooki,4
Forelius.pruinosus,35,Forelius.pruinosus,139
Formica.archboldi,11,Formica.archboldi,58
Formica.biophilica,1,Formica.biophilica,5
Formica.dolosa,1,Formica.dolosa,20
Formica.pallidefulva,23,Formica.pallidefulva,84
Formica.subsericea,1,Formica.subsericea,0
Gnamptogenys.triangularis,1,Gnamptogenys.triangularis,7
Hypoponera.inexorata,38,Hypoponera.inexorata,26
Hypoponera.opaciceps,195,Hypoponera.opaciceps,168
Hypoponera.opacior,1404,Hypoponera.opacior,469
Hypoponera.punctatissima,119,Hypoponera.punctatissima,82
Lasius.americanus,29,Lasius.americanus,33
Lasius.claviger,0,Lasius.claviger,1
Lasius.interjectus,0,Lasius.interjectus,1
Lasius.neoniger,1,Lasius.neoniger,3
Lasius.umbratus,2,Lasius.umbratus,2
Leptogenys.manni,3,Leptogenys.manni,15
Linepithema.humile,5,Linepithema.humile,14
Monomorium.destructor,0,Monomorium.destructor,3
Monomorium.ebeninum,1,Monomorium.ebeninum,2
Monomorium.floricola,57,Monomorium.floricola,85
Monomorium.pharaonis,55,Monomorium.pharaonis,34
Monomorium.subcoecum,2,Monomorium.subcoecum,1
Monomorium.trageri,3,Monomorium.trageri,23
Monomorium.viridum,24,Monomorium.viridum,85
Myrmecina.americana,130,Myrmecina.americana,62
Myrmecina.cooperi,0,Myrmecina.cooperi,5
Myrmica.punctiventris,5,Myrmica.punctiventris,4
Neivamyrmex.carolinensis,3,Neivamyrmex.carolinensis,10
Neivamyrmex.nigrescens,1,Neivamyrmex.nigrescens,1
Neivamyrmex.opacithorax,4,Neivamyrmex.opacithorax,21
Neivamyrmex.pilosus,1,Neivamyrmex.pilosus,0
Neivamyrmex.texanus,0,Neivamyrmex.texanus,13
Nylanderia.arenivaga,61,Nylanderia.arenivaga,91
Nylanderia.bourbonica,48,Nylanderia.bourbonica,160
Nylanderia.concinna,107,Nylanderia.concinna,41
Nylanderia.faisonensis,525,Nylanderia.faisonensis,179
Nylanderia.fulva,0,Nylanderia.fulva,3
Nylanderia.parvula,39,Nylanderia.parvula,26
Nylanderia.phantasma,4,Nylanderia.phantasma,20
Nylanderia.pubens,1,Nylanderia.pubens,8
Nylanderia.steinheili,124,Nylanderia.steinheili,58
Nylanderia.terricola,0,Nylanderia.terricola,3
Nylanderia.vividula,2,Nylanderia.vividula,14
Nylanderia.wojciki,188,Nylanderia.wojciki,70
Ochetellus.glaber,1,Ochetellus.glaber,9
Odontomachus.brunneus,163,Odontomachus.brunneus,305
Odontomachus.haematodus,0,Odontomachus.haematodus,2
Odontomachus.relictus,7,Odontomachus.relictus,25
Odontomachus.ruginodis,88,Odontomachus.ruginodis,117
Paratrechina.longicornis,45,Paratrechina.longicornis,129
Pheidole.adrianoi,12,Pheidole.adrianoi,38
Pheidole.bicarinata,2,Pheidole.bicarinata,8
Pheidole.bilimeki,519,Pheidole.bilimeki,60
Pheidole.carrolli,3,Pheidole.carrolli,13
Pheidole.crassicornis,3,Pheidole.crassicornis,13
Pheidole.crassicornis_nr,2,Pheidole.crassicornis_nr,0
Pheidole.dentata,310,Pheidole.dentata,320
Pheidole.dentigula,858,Pheidole.dentigula,248
Pheidole.diversipilosa,11,Pheidole.diversipilosa,6
Pheidole.flavens,62,Pheidole.flavens,15
Pheidole.lamia,4,Pheidole.lamia,4
Pheidole.littoralis,4,Pheidole.littoralis,30
Pheidole.megacephala,6,Pheidole.megacephala,26
Pheidole.metallescens,47,Pheidole.metallescens,85
Pheidole.morrisii,39,Pheidole.morrisii,143
Pheidole.navigans,525,Pheidole.navigans,338
Pheidole.obscurithorax,5,Pheidole.obscurithorax,19
Pheidole.tysoni,1,Pheidole.tysoni,4
Platythyrea.punctata,19,Platythyrea.punctata,38
Pogonomyrmex.badius,41,Pogonomyrmex.badius,187
Polyergus.longicornis,0,Polyergus.longicornis,4
Polyergus.montivagus,0,Polyergus.montivagus,4
Polyergus.oligergus,0,Polyergus.oligergus,11
Ponera.exotica,35,Ponera.exotica,13
Ponera.pennsylvanica,31,Ponera.pennsylvanica,18
Prenolepis.imparis,22,Prenolepis.imparis,57
Prionopelta.antillana,33,Prionopelta.antillana,67
Proceratium.croceum,4,Proceratium.croceum,10
Proceratium.pergandei,9,Proceratium.pergandei,31
Proceratium.chickasaw,0,Proceratium.chickasaw,3
Proceratium.crassicorne,0,Proceratium.crassicorne,2
Proceratium.creek,0,Proceratium.creek,3
Proceratium.silaceum,8,Proceratium.silaceum,34
Pseudoneoponera.stigma,30,Pseudoneoponera.stigma,27
Solenopsis.diplo,3140,Solenopsis.diplo,794
Solenopsis.geminata,66,Solenopsis.geminata,161
Solenopsis.globularia,20,Solenopsis.globularia,30
Solenopsis.invicta,169,Solenopsis.invicta,360
Solenopsis.xyloni,0,Solenopsis.xyloni,6
Stenamma.impar,2,Stenamma.impar,0
Stenamma.foveolocephalum,0,Stenamma.foveolocephalum,2
Stigmatomma.pallipes,75,Stigmatomma.pallipes,71
Strumigenys.abdita,1,Strumigenys.abdita,3
Strumigenys.angulata,3,Strumigenys.angulata,8
Strumigenys.apalachicolensis,0,Strumigenys.apalachicolensis,4
Strumigenys.archboldi,9,Strumigenys.archboldi,19
Strumigenys.boltoni,3,Strumigenys.boltoni,5
Strumigenys.brevisetosa,8,Strumigenys.brevisetosa,26
Strumigenys.bunki,5,Strumigenys.bunki,18
Strumigenys.carolinensis,2,Strumigenys.carolinensis,8
Strumigenys.cloydi,1,Strumigenys.cloydi,2
Strumigenys.clypeata,81,Strumigenys.clypeata,66
Strumigenys.creightoni,34,Strumigenys.creightoni,11
Strumigenys.deyrupi,33,Strumigenys.deyrupi,4
Strumigenys.dietrichi,66,Strumigenys.dietrichi,59
Strumigenys.eggersi,849,Strumigenys.eggersi,162
Strumigenys.emmae,367,Strumigenys.emmae,131
Strumigenys.gundlachi,51,Strumigenys.gundlachi,19
Strumigenys.hexamera,1,Strumigenys.hexamera,3
Strumigenys.hyalina,0,Strumigenys.hyalina,1
Strumigenys.laevinasis,1,Strumigenys.laevinasis,3
Strumigenys.lanuginosa,5,Strumigenys.lanuginosa,5
Strumigenys.louisianae,299,Strumigenys.louisianae,216
Strumigenys.margaritae,2,Strumigenys.margaritae,5
Strumigenys.membranifera,82,Strumigenys.membranifera,99
Strumigenys.metazytes,0,Strumigenys.metazytes,1
Strumigenys.missouriensis,1,Strumigenys.missouriensis,6
Strumigenys.ornata,254,Strumigenys.ornata,159
Strumigenys.pilinasis,10,Strumigenys.pilinasis,9
Strumigenys.pulchella,11,Strumigenys.pulchella,24
Strumigenys.reflexa,7,Strumigenys.reflexa,10
Strumigenys.rogeri,221,Strumigenys.rogeri,67
Strumigenys.rostrata,33,Strumigenys.rostrata,21
Strumigenys.silvestrii,5,Strumigenys.silvestrii,7
Strumigenys.talpa,259,Strumigenys.talpa,184
Strumigenys.wrayi,1,Strumigenys.wrayi,2
Tapinoma.litorale,5,Tapinoma.litorale,45
Tapinoma.melanocephalum,37,Tapinoma.melanocephalum,74
Tapinoma.sessile,9,Tapinoma.sessile,20
Technomyrmex.difficilis,9,Technomyrmex.difficilis,42
Temnothorax.curvispinosus,8,Temnothorax.curvispinosus,11
Temnothorax.palustris,0,Temnothorax.palustris,9
Temnothorax.pergandei,43,Temnothorax.pergandei,74
Temnothorax.texanus,14,Temnothorax.texanus,34
Temnothorax.torrei,16,Temnothorax.torrei,14
Tetramorium.bicarinatum,15,Tetramorium.bicarinatum,39
Tetramorium.caldarium,8,Tetramorium.caldarium,53
Tetramorium.immigrans,0,Tetramorium.immigrans,2
Tetramorium.lanuginosum,1,Tetramorium.lanuginosum,3
Tetramorium.simillimum,65,Tetramorium.simillimum,54
Trachymyrmex.jamaicensis,2,Trachymyrmex.jamaicensis,9
Trachymyrmex.septentrionalis,65,Trachymyrmex.septentrionalis,202
Wasmannia.auropunctata,325,Wasmannia.auropunctata,113